AtomicNumber,Element,Symbol,AtomicMass,Neutrons,Protons,Electrons,Period,Group,Phase,Radioactive,Natural,Metal,Nonmetal,Metalloid,Type,AtomicRadius,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint,Isotopes,Discoverer,Year,SpecificHeat,Shells,Valence,Config,MassNumber
41,Niobium,Nb,92.906,52,41,41,5,5,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,2.1,1.6,6.7589,8.57,2741.15,5017,24,Hatchett,1801,0.265,5,0,[Kr] 4d4 5s1,93
42,Molybdenum,Mo,95.96,54,42,42,5,6,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,2,2.16,7.0924,10.2,2890.15,4912,20,Scheele,1778,0.251,5,0,[Kr] 4d5 5s1,96
43,Technetium,Tc,98,55,43,43,5,7,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Transition Metal,2,1.9,7.28,11.5,2473.15,5150,23,Perrier and Segr�,1937,,5,0,[Kr] 4d5 5s2,98
44,Ruthenium,Ru,101.07,57,44,44,5,8,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,1.9,2.2,7.3605,12.4,2523.15,4423,16,Klaus,1844,0.238,5,0,[Kr] 4d7 5s1,101
45,Rhodium,Rh,102.906,58,45,45,5,9,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,1.8,2.28,7.4589,12.4,2239.15,3968,20,Wollaston,1803,0.243,5,0,[Kr] 4d8 5s1,103
46,Palladium,Pd,106.42,60,46,46,5,10,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,1.8,2.2,8.3369,12,1825.15,3236,21,Wollaston,1803,0.244,5,0,[Kr] 4d10,106
47,Silver,Ag,107.868,61,47,47,5,11,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,1.8,1.93,7.5762,10.5,1234.15,2435,27,Prehistoric,,0.235,5,0,[Kr] 4d10 5s1,108
48,Cadmium,Cd,112.411,64,48,48,5,12,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,1.7,1.69,8.9938,8.69,594.33,1040,22,Stromeyer,1817,0.232,5,0,[Kr] 4d10 5s2,112
49,Indium,In,114.818,66,49,49,5,13,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Metal,2,1.78,5.7864,7.31,429.91,2345,34,Reich and Richter,1863,0.233,5,3,[Kr] 4d10 5s2 5p1,115
50,Tin,Sn,118.71,69,50,50,5,14,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Metal,1.7,1.96,7.3439,7.29,505.21,2875,28,Prehistoric,,0.228,5,4,[Kr] 4d10 5s2 5p2,119
